method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
min_pca 20 0.7 0.5 500 2000 0 2000 2000
tpca 0.8 0.7 0.5 500 1754.358 630.711 109.425 2000
tpca 0.9 0.7 0.5 500 2000 0 2000 2000
tpca 0.95 0.7 0.5 500 2000 0 2000 2000
tpca 0.99 0.7 0.5 500 2000 0 2000 2000
tpca 0.995 0.7 0.5 500 2000 0 2000 2000
tpca 0.999 0.7 0.5 500 2000 0 2000 2000
mix 0.03 0.7 0.5 500 5.872 0.796 4 6
mix 0.1 0.7 0.5 500 4.914 0.641 4 5
mix 0.3 0.7 0.5 500 4.396 0.632 3 4
mix 1 0.7 0.5 500 4.022 0.592 3 4
max_pca 1 0.7 0.75 500 757.054 852.424 72 188.025
max_pca 2 0.7 0.75 500 118.326 151.388 50.95 97.025
max_pca 3 0.7 0.75 500 72.576 16.592 43 70
max_pca 5 0.7 0.75 500 51.082 8.958 35 50
max_pca 10 0.7 0.75 500 39.226 5.725 29 38
max_pca 20 0.7 0.75 500 29.174 3.487 23 29
min_pca 1 0.7 0.75 500 1992.664 115.889 2000 2000
min_pca 2 0.7 0.75 500 2000 0 2000 2000
min_pca 3 0.7 0.75 500 2000 0 2000 2000
min_pca 5 0.7 0.75 500 2000 0 2000 2000
min_pca 10 0.7 0.75 500 2000 0 2000 2000
min_pca 20 0.7 0.75 500 2000 0 2000 2000
tpca 0.8 0.7 0.75 500 2000 0 2000 2000
tpca 0.9 0.7 0.75 500 2000 0 2000 2000
tpca 0.95 0.7 0.75 500 2000 0 2000 2000
tpca 0.99 0.7 0.75 500 2000 0 2000 2000
tpca 0.995 0.7 0.75 500 2000 0 2000 2000
tpca 0.999 0.7 0.75 500 2000 0 2000 2000
mix 0.03 0.7 0.75 500 18.864 3.833 11.475 19
mix 0.1 0.7 0.75 500 15.616 3.284 9 15
mix 0.3 0.7 0.75 500 13.944 2.957 8 14
mix 1 0.7 0.75 500 12.966 2.864 7 13
max_pca 1 0.7 1.5 500 1995.626 85.721 2000 2000
max_pca 2 0.7 1.5 500 2000 0 2000 2000
max_pca 3 0.7 1.5 500 2000 0 2000 2000
max_pca 5 0.7 1.5 500 2000 0 2000 2000
max_pca 10 0.7 1.5 500 2000 0 2000 2000
