method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.1 0.005 1 500 53.334 19.965 15.475 51
mix 0.3 0.005 1 500 73.2 30.513 16 70
mix 1 0.005 1 500 92.664 43.972 15.475 85
max_pca 1 0.002 0.5 500 829.834 779.695 78.425 365.15
max_pca 2 0.002 0.5 500 265.032 328.478 75.95 169.025
max_pca 3 0.002 0.5 500 166.148 116.479 77.95 147
max_pca 5 0.002 0.5 500 123.052 35.719 70.475 117.025
max_pca 10 0.002 0.5 500 100.896 20.681 64 97
max_pca 20 0.002 0.5 500 85.414 14.035 60 83
max_pca 40 0.002 0.5 500 77.188 10.892 56.475 76
min_pca 1 0.002 0.5 500 106.666 389.12 2 8
min_pca 2 0.002 0.5 500 19.92 91.624 3 8
min_pca 3 0.002 0.5 500 13.436 14.45 3 9
min_pca 5 0.002 0.5 500 15.876 12.325 4 12
min_pca 10 0.002 0.5 500 21.81 11.983 7 19
min_pca 20 0.002 0.5 500 32.104 12.947 10.475 31
min_pca 40 0.002 0.5 500 43.926 17.503 11 45
tpca 0.8 0.002 0.5 500 83.92 8.934 65.475 84
tpca 0.9 0.002 0.5 500 59.474 15.22 22.475 60
tpca 0.95 0.002 0.5 500 46.262 18.899 11 49
tpca 0.99 0.002 0.5 500 46.262 18.899 11 49
tpca 0.995 0.002 0.5 500 46.262 18.899 11 49
tpca 0.999 0.002 0.5 500 46.262 18.899 11 49
mix 0.03 0.002 0.5 500 762.038 666.47 72.95 452.075
mix 0.1 0.002 0.5 500 636.322 552.207 42 411.075
mix 0.3 0.002 0.5 500 636.22 536.636 31.475 439.025
mix 1 0.002 0.5 500 532.96 483.512 20.425 345
max_pca 1 0.002 0.7 500 783.69 760.753 88.475 325.025
max_pca 2 0.002 0.7 500 244.046 290.679 75.475 172
max_pca 3 0.002 0.7 500 162.578 104.212 72.425 146
max_pca 5 0.002 0.7 500 124.43 30.803 66.95 122.025
max_pca 10 0.002 0.7 500 101.048 20.345 64 98
max_pca 20 0.002 0.7 500 84.86 14.159 57.475 84
max_pca 40 0.002 0.7 500 77.154 11.014 56 76
min_pca 1 0.002 0.7 500 86.188 350.674 2 5
min_pca 2 0.002 0.7 500 11.194 20.137 2 5
min_pca 3 0.002 0.7 500 9.656 11.842 2 6
min_pca 5 0.002 0.7 500 10.7 9.582 3 8
min_pca 10 0.002 0.7 500 14.178 8.969 4 12
min_pca 20 0.002 0.7 500 21.162 10.438 7 19
min_pca 40 0.002 0.7 500 30.058 15.768 7 29.025
tpca 0.8 0.002 0.7 500 68.182 10.435 48 67
tpca 0.9 0.002 0.7 500 44.222 14.992 11 44
tpca 0.95 0.002 0.7 500 31.85 17.275 7 31
tpca 0.99 0.002 0.7 500 31.85 17.275 7 31
tpca 0.995 0.002 0.7 500 31.85 17.275 7 31
tpca 0.999 0.002 0.7 500 31.85 17.275 7 31
mix 0.03 0.002 0.7 500 195.446 210.666 41.95 147.025
mix 0.1 0.002 0.7 500 326.656 361.957 33.475 193
mix 0.3 0.002 0.7 500 453.404 468.264 34.9 268.025
mix 1 0.002 0.7 500 446.032 449.497 26.475 269
max_pca 1 0.002 1 500 692.834 718.433 91.475 305.075
max_pca 2 0.002 1 500 235.09 273.008 72.475 166
max_pca 3 0.002 1 500 160.43 97.06 69.475 142
max_pca 5 0.002 1 500 120.536 33.237 63.475 116
max_pca 10 0.002 1 500 98.842 20.707 60.475 97
max_pca 20 0.002 1 500 83.318 13.541 58.475 82
max_pca 40 0.002 1 500 75.718 10.373 56 75
min_pca 1 0.002 1 500 53.794 279.773 2 3
min_pca 2 0.002 1 500 7.288 15.484 2 3
min_pca 3 0.002 1 500 5.664 7.597 2 4
min_pca 5 0.002 1 500 6.232 5.786 2 4
min_pca 10 0.002 1 500 8.118 5.356 3 7
min_pca 20 0.002 1 500 12.532 6.717 4 11
min_pca 40 0.002 1 500 17.97 10.803 4 15
tpca 0.8 0.002 1 500 51.132 10.193 31.475 51
tpca 0.9 0.002 1 500 27.992 12.463 7 27
tpca 0.95 0.002 1 500 19.026 11.916 4 16
tpca 0.99 0.002 1 500 19.026 11.916 4 16
tpca 0.995 0.002 1 500 19.026 11.916 4 16
tpca 0.999 0.002 1 500 19.026 11.916 4 16
mix 0.03 0.002 1 500 72.854 27.005 24.475 70
mix 0.1 0.002 1 500 100.15 43.873 26 98
mix 0.3 0.002 1 500 164.312 159.002 24 125.025
mix 1 0.002 1 500 245.548 269.232 24 154
max_pca 1 0.01 0.5 500 714.04 733.653 81.475 294.05
max_pca 2 0.01 0.5 500 230.342 267.549 78 162.025
max_pca 3 0.01 0.5 500 165.522 157.334 73.475 140.025
max_pca 5 0.01 0.5 500 120.126 30.775 66 116
max_pca 10 0.01 0.5 500 99.526 19.625 64.475 97
max_pca 20 0.01 0.5 500 84.006 13.34 60 82
max_pca 40 0.01 0.5 500 76.432 10.553 58 75
min_pca 1 0.01 0.5 500 44.822 251.201 2 3
min_pca 2 0.01 0.5 500 6.122 10.647 2 3
min_pca 3 0.01 0.5 500 4.964 6.351 2 3
min_pca 5 0.01 0.5 500 5.13 4.058 2 4
min_pca 10 0.01 0.5 500 6.826 3.976 3 6
min_pca 20 0.01 0.5 500 10.514 5.309 4 9
min_pca 40 0.01 0.5 500 15.302 9.164 4 12
tpca 0.8 0.01 0.5 500 45.76 9.397 29 45
tpca 0.9 0.01 0.5 500 23.874 11.017 6 23
tpca 0.95 0.01 0.5 500 16.302 10.363 4 12
tpca 0.99 0.01 0.5 500 16.302 10.363 4 12
tpca 0.995 0.01 0.5 500 16.302 10.363 4 12
tpca 0.999 0.01 0.5 500 16.302 10.363 4 12
mix 0.03 0.01 0.5 500 78.366 26.889 28 76
mix 0.1 0.01 0.5 500 93.482 36.875 26.475 92.025
mix 0.3 0.01 0.5 500 123.042 73.009 26.475 112
mix 1 0.01 0.5 500 166.926 161.017 23.475 133.05
max_pca 1 0.01 0.7 500 715.37 733.13 87.475 302.05
max_pca 2 0.01 0.7 500 210.906 206.405 79.475 166
max_pca 3 0.01 0.7 500 156.626 71.345 79.475 143
max_pca 5 0.01 0.7 500 121.13 29.458 73 117
max_pca 10 0.01 0.7 500 99.538 19.931 66.475 97
max_pca 20 0.01 0.7 500 83.936 13.702 58.475 83
max_pca 40 0.01 0.7 500 75.978 10.857 54.475 76
min_pca 1 0.01 0.7 500 21.928 155.761 2 2
min_pca 2 0.01 0.7 500 4.072 7.662 2 2
min_pca 3 0.01 0.7 500 3.196 2.819 2 2
min_pca 5 0.01 0.7 500 3.378 2.252 2 3
min_pca 10 0.01 0.7 500 4.34 2.259 2 4
min_pca 20 0.01 0.7 500 6.39 3.187 3 5
min_pca 40 0.01 0.7 500 9.122 5.71 3 7
tpca 0.8 0.01 0.7 500 31.164 7.808 18 30
tpca 0.9 0.01 0.7 500 14.734 7.55 4 13.025
tpca 0.95 0.01 0.7 500 9.7 6.559 3 7
tpca 0.99 0.01 0.7 500 9.7 6.559 3 7
tpca 0.995 0.01 0.7 500 9.7 6.559 3 7
tpca 0.999 0.01 0.7 500 9.7 6.559 3 7
