method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.3 0.3 0 500 1906.88 323.276 722.5 2000
mix 1 0.3 0 500 1924.272 280.947 882.425 2000
max_pca 1 0.3 0 500 1265.308 886.992 80 2000
max_pca 2 0.3 0 500 512.872 729.118 64.475 159.025
max_pca 3 0.3 0 500 273.282 491.318 63 129
max_pca 5 0.3 0 500 112.848 93.015 55.425 102
max_pca 10 0.3 0 500 78.72 18.073 45.475 76
max_pca 20 0.3 0 500 58.33 12.04 36.475 58
min_pca 1 0.3 0 500 2.012 0.109 2 2
min_pca 2 0.3 0 500 2.01 0.1 2 2
min_pca 3 0.3 0 500 2.018 0.133 2 2
min_pca 5 0.3 0 500 2.026 0.159 2 2
min_pca 10 0.3 0 500 2.23 0.431 2 2
min_pca 20 0.3 0 500 3.236 0.574 2 3
tpca 0.8 0.3 0 500 2.012 0.109 2 2
tpca 0.9 0.3 0 500 2.012 0.109 2 2
tpca 0.95 0.3 0 500 2.012 0.109 2 2
tpca 0.99 0.3 0 500 2.022 0.147 2 2
tpca 0.995 0.3 0 500 2.044 0.205 2 2
tpca 0.999 0.3 0 500 2.14 0.359 2 2
mix 0.03 0.3 0.25 500 1912.92 333.061 493.55 2000
mix 0.1 0.3 0.25 500 1885.1 370.867 440.175 2000
mix 0.3 0.3 0.25 500 1874.942 384.119 457.3 2000
mix 1 0.3 0.25 500 1882.87 364.688 514.35 2000
